algebra,counting_and_prob,geometry,intermediate_algebra,num_theory,prealgebra,precalculus,cohort,arch
1.8177297,1.7578428,1.430931,1.14968,1.6459488,1.8395041,1.475764,Q1-2025,LlamaForCausalLM
2.4156956672668457,2.2167508602142334,1.9274276494979856,1.4225894212722778,1.879312753677368,2.3850131034851074,1.8404420614242551,Q4-2024,LlamaForCausalLM
2.041758298873902,1.72210693359375,1.3677488565444946,1.0333579778671265,1.437014102935791,1.881047010421753,1.5359013080596924,Q3-2024,LlamaForCausalLM
2.254026412963867,2.104337453842163,1.7077285051345823,1.1512128114700315,1.7419840097427368,2.2760772705078125,1.5339288711547852,Q2-2024,LlamaForCausalLM
2.6271824836730957,2.427955865859986,2.144059896469116,1.6850546598434448,2.3310866355895996,2.504298210144043,2.0973801612854004,Q1-2025,Qwen2ForCausalLM
2.6207127571105957,2.4708642959594727,2.116238832473755,1.6998956203460691,2.3329384326934814,2.5111117362976074,2.20189905166626,Q4-2024,Qwen2ForCausalLM
2.300109624862671,2.274916648864746,1.9436888694763184,1.684823989868164,2.4714503288269043,2.1698219776153564,2.0721535682678223,Q3-2024,Qwen2ForCausalLM
1.920198678970337,1.6401923894882202,1.2536354064941406,1.1467856168746948,1.4191395044326782,1.8037700653076172,1.344529628753662,Q2-2024,Qwen2ForCausalLM
2.1136960983276367,1.8582162857055664,1.511529564857483,1.3525347709655762,1.757231831550598,2.0302000045776367,1.5214836597442627,Q1-2025,MistralForCausalLM
2.168976306915283,1.814587950706482,1.526034593582153,1.1795803308486938,1.6695899963378906,2.117260456085205,1.836047649383545,Q4-2024,MistralForCausalLM
1.897196650505066,1.6340053081512451,1.2204642295837402,1.266229271888733,1.2663716077804563,1.8811849355697632,1.7819781303405762,Q3-2024,MistralForCausalLM
1.7610900402069092,1.745682716369629,1.5894370079040527,1.062635064125061,1.1468135118484497,1.9189746379852295,1.607091188430786,Q2-2024,MistralForCausalLM
2.201663017272949,1.939077377319336,1.587327003479004,1.2246639728546145,1.575277328491211,2.0957491397857666,1.435881733894348,Q1-2025,Gemma2ForCausalLM
2.0109317302703857,1.7901575565338137,1.5497461557388306,1.1173752546310425,1.5733089447021484,1.9758281707763672,1.61063814163208,Q4-2024,Gemma2ForCausalLM
2.0707650184631348,1.7232859134674072,1.394672155380249,1.1394095420837402,1.400593638420105,2.036989450454712,2.039294958114624,Q3-2024,Gemma2ForCausalLM
1.784989833831787,0.9397980570793152,1.0977603197097778,1.474084496498108,1.748337984085083,1.9503861665725708,0.9127675890922546,Q2-2024,Gemma2ForCausalLM
